username,userid,profile_location,created_at,text,retweet_count,source,coordinates
UCSF-East Bay,3318077810,"Oakland, CA",1/22/2023 22:13,Happy Lunar New Year from all of us @UCSF_EastBay  in Oakland! #lunarnewyear #yearoftherabbit https://t.co/DUJlnjNr4V,1,Twitter Web App,
AcEz,2557923356,San Francisco,1/22/2023 22:13,"I like Sean McDermott as a head coach and have, but I will say if the Bills don't make it to the AFCCG next year th�?https://t.co/eaLY6hOFo1",0,Twitter Web App,
FeliciaSW,14836491,"New York, San Francisco",1/22/2023 22:11,"@1goodtern This study mentioned cartilage damage, which is a new symptom. For these elderly, who survived the acute�?https://t.co/Vjz7ACNXLL",1,Twitter Web App,
Hebert Chan 🦷,1.07005E+18,"San Francisco, CA",1/22/2023 22:10,@CherlynnLow Happy new year to you too Cherlynn 🧧,0,Twitter for Android,
Red Pocket Aces 紅口袋王�?1150641200828837889,"San Francisco, CA",1/22/2023 22:10,This must be Dean Preston's way of celebrating Lunar New Year with the only constituents that he cares about in the�?https://t.co/I696QwEynr,0,Twitter Web App,,
David Chiu,10378382,San Francisco,1/22/2023 22:06,"Today, we celebrate the first day of the Lunar New Year in San Francisco’s Chinatown, the oldest Chinatown in our c�?https://t.co/HZJLcNLsgX",0,Twitter for iPhone,
bOpMaiNjR.,43828646,Freaky Frisco,1/22/2023 22:06,Driver found dead after authorities breach van linked to Lunar New Year mass shooting https://t.co/u5B5BfdilS,0,Twitter for Android,
"AuntyAlias - Artist, Astrologer, Author",107612608,"San Francisco, CA, USA",1/22/2023 22:05,"At Lunar New Year, Desserts Can Be Customary Or ‘Cute-Ified' https://t.co/RBM0ZLIMa0",0,Twitter Web App,
franklyn wu 吳適�?389635785,"Berkeley, CA",1/22/2023 22:04,Root vegetables and fungi bonanza for Lunar New Year dinner! #happylunarnewyear #yearoftherabbit2023�?https://t.co/KJGaSSpOz2,0,IFTTT,,
KQED,9677372,"San Francisco, CA",1/22/2023 22:02,A gunman killed 10 people at a ballroom dance studio amid Lunar New Year celebrations and then probably tried �?but�?https://t.co/MDBCWwKs2t,1,Sprout Social,
CAPA21,202424267,San Francisco,1/22/2023 22:02,Our deepest condolences to the families and loved ones of the victims of last night's Monterey Park mass shooting i�?https://t.co/22cCY6URQf,5,Twitter Web App,
KQED News,14885540,"San Francisco, California",1/22/2023 22:02,A gunman killed 10 people at a ballroom dance studio amid Lunar New Year celebrations and then probably tried �?but�?https://t.co/37lRn6sgBP,2,Twitter Web App,
Yoga on theLabyrinth,7.6861E+17,"San Francisco, CA",1/22/2023 22:00,"Happy Lunar New Year 2023. The year of the Water Rabbit. Wishing you all peace and prosperity!  新年�? 恭喜发财

photo cr�?https://t.co/zuY15Oi8WJ",0,Hootsuite Inc.,
Mary Ellen Carroll (She/Her/Hers),1.04029E+18,"San Francisco, CA",1/22/2023 21:55,We celebrated #LunarNewYear2023 with heavy hearts thinking of last night’s tragedy in Monterrey Park but also hopef�?https://t.co/hB9z1wnNDQ,3,Twitter for iPhone,
Golden Gate Global,7.74305E+17,"San Francisco, CA",1/22/2023 21:51,"Wishing everyone a healthy and prosperous Lunar New Year!

#GoldenGateGlobal #ChineseNewYear2023 #LunarNewYear�?https://t.co/l0OneqkFOG",0,Twitter Web App,
Existential Dread Inc 💀👺,149253556,San Francisco,1/22/2023 21:50,"Happy new year! (to this masterpiece commercial)
https://t.co/O5sPDGrTYB",0,Twitter for Android,
Claudia Mar Ruiz,15314995,"Alameda, CA",1/22/2023 21:44,Driver dead in van linked to Lunar New Year mass shooting - Los Angeles Times https://t.co/RJxj1IN4mG,0,Twitter for iPhone,
FrickUnited,721582464,"Oakland, CA, USA",1/22/2023 21:43,Happy Lunar New Year! https://t.co/Kb4m7vHMa7,0,Twitter for iPhone,
vin,1.00064E+18,"Pinole, CA",1/22/2023 21:42,Just saw an old man get out of his car to throw a coffee cup at a lady. Happy lunar new year btw,0,Twitter for iPhone,
Cnglee,1.191E+18,"San Francisco, CA",1/22/2023 21:42,@apcrm23 Yes!   Especially cuz it’s Lunar New Year!,0,Twitter for iPad,
FJ,25757444,"San Francisco, CA",1/22/2023 21:41,"@kron4news Right 3,000 car breakins every month.  The homeless situation keeps increasing with over 700 fentanyl de�?https://t.co/2RCxANRuTT",0,Twitter for iPhone,
Belinda Man 🐰,1657926745,"San Francisco, CA",1/22/2023 21:34,pro tip: never wash or cut your hair on chinese new year if you want to prosper.,0,Twitter for iPhone,
somniamea,1.56586E+18,"San Francisco, CA",1/22/2023 21:33,Happy Chinese and Lunar New Year! - made with NightCafe Creator  https://t.co/IuNyxB6ePF #aiart #nightcafe�?https://t.co/5jgLm0JXbJ,0,Twitter Web App,
"Dr. Akilah Cadet, MPH",3070626606,"Oakland, CA",1/22/2023 21:31,Lunar New Year is a time for celebration. Instead people in Monterey Park are mourning the loss of at least 10 peop�?https://t.co/7tv9XZDB6q,0,Twitter for Android,
alyssa,548205446,"Daly City, CA",1/22/2023 21:30,there was a mass shooting in monterey park two minutes away from the school i work at a happened near the chinese n�?https://t.co/XorltoIiYz,0,Twitter for iPhone,
Electrofans.com,384486679,"San Francisco, California",1/22/2023 21:29,"Happy Luna New Year! 🎆🎊⭐️
Our first official DJ Mix, from the spectacular @Luna_Mudkitten:
https://t.co/N3tfgaRzb3",2,Twitter for iPhone,
Chef Marck,1.10053E+18,"San Francisco, CA",1/22/2023 21:27,@808_R8der8 Happy New Year Tori! 🧧🥠🐇,0,Twitter for iPhone,
gabe,1.5453E+18,"San Francisco, CA",1/22/2023 21:26,"@repetitivesoul happy new year, owl",0,Twitter for iPhone,
Mrs. Gong,1.31537E+18,"San Francisco, CA",1/22/2023 21:26,@emalick Happy New Year!!!,0,Twitter Web App,
Roland Li,40694681,"Oakland, CA",1/22/2023 21:23,"10 dead, 10 injured in Monterey Park shooting near Lunar New Year festival: https://t.co/cBuoqPMEoW

Props to the L�?https://t.co/mMbl4O95pa",1,Twitter Web App,
"""All I do is"" Nguyen ☺️🇻🇳🌈",1.40046E+18,San Francisco,1/22/2023 21:22,@Gameove35593168 @mikkadu @Susan16Park Happy New Year!,0,Twitter Web App,
"AuntyAlias - Artist, Astrologer, Author",107612608,"San Francisco, CA, USA",1/22/2023 21:22,Dark Moon Astrology - Aquarius New Moon 2023                                                       The Year of the�?https://t.co/eLZgRQNHzN,0,Twitter Web App,
"""All I do is"" Nguyen ☺️🇻🇳🌈",1.40046E+18,San Francisco,1/22/2023 21:21,@Susan16Park @mikkadu Happy New Year ☺️,2,Twitter Web App,
Kevin Riggle,18656513,"San Francisco, CA",1/22/2023 21:18,Ugh. Another shooting? Monterey? Lunar New Year festival? Noooooo 😭,0,Twitter for iPhone,
COFFEEWEST 💀😸⛩�?1448514265430642691,"San Francisco, CA",1/22/2023 21:14,@datdegenboi @samuelgildas @AzukiOfficial Happy new year DAT BOI!,0,Twitter for iPhone,,
Wafo Espresso,1.59236E+18,"San Francisco, CA",1/22/2023 21:13,@handbrewer Happy New Year to all of you,0,Twitter for iPhone,
Chrystal Irene 📸�?2577668629,"Oakland, CA",1/22/2023 21:12,"Happy lunar new year! Hoping to do more portrait work this year. Models slide into my DM’s. :) 

Shot on Fuji X100V�?https://t.co/z3zEF5Lkrg",0,Twitter for iPhone,,
"""All I do is"" Nguyen ☺️🇻🇳🌈",1.40046E+18,San Francisco,1/22/2023 21:10,@mikkadu @Susan16Park Happy New Year!!,0,Twitter Web App,
Keane Li,10316782,"San Francisco, CA",1/22/2023 21:10,"Happy Lunar New Year. May your transition from 🐯 to 🐰 be swell.
#CNY2023 #YearOfTheRabbit https://t.co/rQdJzr1cke",5,Twitter for iPhone,
Alvin Lu,43271384,San Francisco,1/22/2023 21:08,"He waits in the shadows
A black leather jacket
So close are we now
I know he can smell it
Our hope, our desire
Our�?https://t.co/S90RDnlJka",0,Twitter Web App,
"Shoshana Ungerleider, MD",355697093,San Francisco,1/22/2023 21:08,"The mass shooting during the Lunar New Year event in Monterey Park is heartbreaking. 

How many more times will we�?https://t.co/A5qe5BrvGN",10,Twitter for iPhone,
The San Francisco Standard,1.3459E+18,"San Francisco, CA",1/22/2023 21:04,SF leaders rallied with the community in Chinatown for Lunar New Year.  https://t.co/2R4dJUjeBe,3,True Anthem,
Rio,1.18509E+18,"San Rafael, CA",1/22/2023 21:02,@MFA_China Happy Chinese New Year!,0,Twitter for Android,
Ariana,89771450,"San Francisco, CA",1/22/2023 21:02,Chinese new year goes off in San Francisco!,0,Twitter for iPhone,
purrito420,14417656,"Oakland, CA",1/22/2023 21:02,"i mean pacific islanders don’t celebrate chinese new year, so kinda weird calling it an aapi celebration",0,Twitter for iPhone,
Izzy Baker 🏳️‍⚧�?1448801212325761027,"San Francisco, CA",1/22/2023 21:00,@ZaddyKimchi Happy Chinese new year,0,Twitter for iPhone,,
Shaya,482609512,"Oakland, CA",1/22/2023 20:55,@MasterChanX gm and happy lunar new year mcx!,0,Twitter Web App,
Ryan Tamares �?77142112,"Stanford, CA",1/22/2023 20:55,SF Correspondence Coop lunar new year edition meetup! (@ San Francisco Public Library - @sfpubliclibrary in San Fra�?https://t.co/DFqGYfHl8L,0,Foursquare,"{'type': 'Point', 'coordinates': [-122.41551744, 37.77881442]}",
DLabrie,16199015,"Oakland,CA",1/22/2023 20:54,"Sunday 1/22 Nepal Concert - DLabrie Live Show w/ DonG, Bikram(Nepali Hip Hop Congress), DorzJojo &amp; more - Lunar New�?https://t.co/F7BnXNn0fs",0,Jetpack.com,
Aimee Allison,15607662,"Oakland, CA",1/22/2023 20:54,Today when the AAPI community should be celebrating the New Year we once again find ourselves grieving. Our hearts�?https://t.co/TUTh3r3nVp,4,Twitter Web App,
Jay,101941315,"San Francisco, CA",1/22/2023 20:52,Happy Chinese new year 🧧,0,Twitter for iPhone,
NIO San Francisco,1.48762E+18,"San Francisco, CA",1/22/2023 20:51,@SinoAutoInsight @NIOGlobal Absolutely! Tea 🍵 on me - Happy new year 🎈,0,Twitter for iPhone,
South San Francisco,23982011,City of South San Francisco,1/22/2023 20:51,"Happy Lunar New Year from the City of South San Francisco! 
恭喜发财! (Gong hei fat choy!) | 新年快乐! (Xīnnián kuàilè!)
Wi�?https://t.co/CNOhPScOhd",0,Sprout Social,
F. Lacerca-Allen,613445674,San Francisco,1/22/2023 20:51,"Wishing you a prosperous, happy and healthy Chinese New Year.
Where we continue learning about our differences and�?https://t.co/8nT9mIV1hH",0,LinkedIn,
San Francisco Department of Emergency Management,30343716,San Francisco,1/22/2023 20:49,"Gung Hay Fat Choy! On behalf of the SFDEM, we wish you a safe and prosperous Lunar New Year and Year of the Rabbit!�?https://t.co/AJUZpej1wt",2,Twitter Web App,
Red Pocket Aces 紅口袋王�?1150641200828837889,"San Francisco, CA",1/22/2023 20:48,@MrJerryGoode Happy new year. 🐇🐰,0,Twitter Web App,,
